gpu_count,baseline_wait,rl_wait,gpu_group
4,1865.2,1.0,4
4,1898.65,1.0,4
4,1865.2,1.0,4
4,1897.5666666666666,1.0,4
4,10557.45,1.0,4
4,1865.2,1.0,4
8,1874.45,1.0,8
8,9616.0,1.0,8
8,9496.05,1.0,8
8,1945.4166666666667,1.0,8
1,1865.2,1.0,1
1,1865.2,1.0,1
1,1865.2,1.0,1
1,1865.2,1.0,1
2,1896.1666666666667,1.0,2
2,1882.9333333333334,1.0,2
2,1865.2,1.0,2
2,1865.2,1.0,2
1,0.0,0.75,1
1,0.03333333333333333,0.4666666666666667,1
1,0.0,0.35,1
4,0.0,0.9333333333333333,4
4,0.016666666666666666,0.6666666666666666,4
1,0.0,0.31666666666666665,1
1,0.0,0.9,1
8,0.0,0.7666666666666667,8
8,0.016666666666666666,0.85,8
8,0.0,0.7666666666666667,8
8,28.55,0.5666666666666667,8
8,179.23333333333332,0.55,8
4,0.0,0.7166666666666667,4
1,0.03333333333333333,0.06666666666666667,1
4,0.0,0.2833333333333333,4
1,0.0,0.7,1
4,0.0,0.35,4
4,0.0,0.7333333333333333,4
1,0.0,0.65,1
1,0.0,0.25,1
1,0.0,0.48333333333333334,1
1,0.0,0.4666666666666667,1
8,0.0,0.7,8
1,0.0,0.6,1
1,0.016666666666666666,0.4,1
1,0.0,0.11666666666666667,1
1,0.0,0.08333333333333333,1
1,0.0,0.016666666666666666,1
1,154.18333333333334,0.55,1
8,0.0,0.38333333333333336,8
4,0.0,0.4,4
1,10.7,0.31666666666666665,1
4,248.76666666666668,0.4166666666666667,4
8,26.783333333333335,0.8,8
8,0.0,0.8,8
1,0.0,0.7833333333333333,1
4,0.016666666666666666,0.9333333333333333,4
4,0.0,0.4,4
4,0.0,0.38333333333333336,4
4,0.0,0.35,4
1,0.0,0.31666666666666665,1
1,2.7666666666666666,0.4,1
8,0.0,0.7833333333333333,8
1,0.0,0.5333333333333333,1
1,2935.9666666666667,0.4,1
1,2958.0833333333335,0.38333333333333336,1
1,2961.0,0.36666666666666664,1
1,8583.666666666666,0.4666666666666667,1
1,0.0,0.21666666666666667,1
1,0.0,0.03333333333333333,1
1,15.183333333333334,0.4166666666666667,1
1,0.0,0.85,1
1,0.0,0.2,1
1,0.0,0.16666666666666666,1
1,4.933333333333334,0.85,1
1,4.9,0.8166666666666667,1
1,5.083333333333333,0.5833333333333334,1
1,9.516666666666667,0.9333333333333333,1
