gpu_group,baseline_all,baseline_rl_subset,rl_wait
1,221.9746602931574,198.98749824159484,0.49317738791423
2,242.7521999215481,245.61458832933656,0.5039968025579536
4,183.86783934134402,190.542939481268,0.49709414024975984
8,440.5053283985431,467.68775419982313,0.5339522546419099
16,339.3752283105023,178.15138888888887,0.45138888888888884
32,278.68838797814203,3114.923333333333,0.2966666666666667
64,465.58707165109035,621.7333333333333,0.8333333333333334
64+,382.98118279569894,0.016666666666666666,0.6333333333333333
