Method,AvgWait(min),P95Wait(min),MaxWait(min),Util_all(%),Util_4GPU(%),Util_8GPU(%)
Baseline(Dataset),376.2282381959126,2653.0833333333335,29422.383333333335,54.860835789190666,36.91037484907264,65.39697590621645
Ours(RL rollout),96.56331559378873,385.8833333333333,16167.85,53.0223270013061,51.10048057335358,54.1503672959739
