gpu_count,baseline_wait,rl_wait,gpu_group
1,0.016666666666666666,1.0,1
1,0.0,0.0,1
1,0.0,0.36666666666666664,1
1,0.0,0.35,1
1,0.0,0.38333333333333336,1
1,0.016666666666666666,0.25,1
1,0.016666666666666666,0.8166666666666667,1
1,0.016666666666666666,0.08333333333333333,1
1,0.0,0.016666666666666666,1
1,0.0,0.55,1
4,23.2,0.43333333333333335,4
4,0.0,0.05,4
1,0.016666666666666666,0.1,1
4,0.0,0.05,4
1,0.016666666666666666,0.5666666666666667,1
4,0.03333333333333333,0.06666666666666667,4
4,0.0,0.05,4
4,172.51666666666668,0.5833333333333334,4
4,0.0,0.06666666666666667,4
4,0.0,0.06666666666666667,4
1,0.0,0.8,1
1,0.0,0.5,1
4,0.0,0.03333333333333333,4
4,0.016666666666666666,0.05,4
1,0.0,0.55,1
4,0.0,0.05,4
4,0.0,0.06666666666666667,4
4,0.0,0.06666666666666667,4
1,0.0,0.4,1
4,0.016666666666666666,0.05,4
4,0.0,0.06666666666666667,4
1,0.0,0.7333333333333333,1
4,0.03333333333333333,0.05,4
4,0.0,0.06666666666666667,4
4,0.0,0.05,4
4,0.016666666666666666,0.05,4
4,0.0,0.06666666666666667,4
1,0.0,0.8,1
4,0.0,0.05,4
4,0.016666666666666666,0.06666666666666667,4
4,0.0,0.05,4
1,0.03333333333333333,0.6333333333333333,1
4,0.0,0.03333333333333333,4
4,0.0,0.05,4
4,0.0,0.05,4
1,0.0,0.3,1
4,0.0,0.06666666666666667,4
1,0.0,0.7333333333333333,1
4,0.03333333333333333,0.06666666666666667,4
4,0.0,0.05,4
1,0.0,0.08333333333333333,1
4,0.016666666666666666,0.06666666666666667,4
1,0.0,0.6666666666666666,1
1,0.0,0.4666666666666667,1
1,0.0,0.05,1
4,0.0,0.05,4
4,0.0,0.06666666666666667,4
4,0.016666666666666666,0.06666666666666667,4
4,0.0,0.05,4
4,0.0,0.06666666666666667,4
1,0.0,0.7666666666666667,1
4,0.0,0.05,4
1,0.0,0.5,1
4,0.0,0.06666666666666667,4
4,0.03333333333333333,0.06666666666666667,4
1,0.03333333333333333,0.75,1
4,0.0,0.05,4
1,0.0,0.65,1
4,0.0,0.06666666666666667,4
4,0.0,0.05,4
1,0.03333333333333333,0.016666666666666666,1
4,0.0,0.06666666666666667,4
1,0.016666666666666666,0.03333333333333333,1
4,6.283333333333333,0.6166666666666667,4
4,0.0,0.06666666666666667,4
4,0.0,0.05,4
4,0.016666666666666666,0.06666666666666667,4
4,0.0,0.03333333333333333,4
1,0.016666666666666666,0.7,1
1,0.0,0.45,1
1,0.03333333333333333,0.2833333333333333,1
1,0.0,0.0,1
1,0.03333333333333333,0.38333333333333336,1
1,0.0,0.23333333333333334,1
1,0.0,0.3333333333333333,1
1,0.0,0.7833333333333333,1
1,0.0,0.1,1
1,0.0,0.7166666666666667,1
1,0.0,0.03333333333333333,1
4,4.35,0.7666666666666667,4
1,0.0,0.08333333333333333,1
4,39.21666666666667,0.21666666666666667,4
1,0.03333333333333333,0.8166666666666667,1
1,0.0,0.11666666666666667,1
1,0.0,0.95,1
1,0.016666666666666666,0.75,1
1,0.0,0.55,1
1,131.45,0.3333333333333333,1
1,131.56666666666666,0.11666666666666667,1
1,0.0,0.55,1
1,0.0,0.7833333333333333,1
1,0.0,0.8,1
4,0.016666666666666666,0.0,4
1,0.016666666666666666,0.5166666666666667,1
4,0.0,0.38333333333333336,4
1,0.0,0.6333333333333333,1
4,0.0,0.25,4
1,0.0,0.13333333333333333,1
1,0.0,0.31666666666666665,1
1,0.0,0.65,1
1,0.0,0.65,1
1,0.0,0.5166666666666667,1
4,0.0,0.65,4
4,0.016666666666666666,0.3333333333333333,4
1,0.016666666666666666,0.18333333333333332,1
4,0.016666666666666666,0.31666666666666665,4
4,0.0,0.85,4
4,0.0,0.06666666666666667,4
1,0.0,0.4,1
1,0.03333333333333333,0.08333333333333333,1
4,0.0,0.95,4
1,0.03333333333333333,0.21666666666666667,1
1,19.966666666666665,0.48333333333333334,1
1,0.0,0.8166666666666667,1
1,0.0,0.75,1
1,0.016666666666666666,0.7166666666666667,1
1,0.03333333333333333,0.7,1
1,0.016666666666666666,0.6833333333333333,1
1,0.0,0.6666666666666666,1
1,0.0,0.6333333333333333,1
1,0.0,0.6166666666666667,1
1,0.0,0.6,1
1,0.0,0.5833333333333334,1
1,0.0,0.55,1
1,0.016666666666666666,0.5333333333333333,1
1,0.0,0.5166666666666667,1
1,0.016666666666666666,0.48333333333333334,1
1,0.0,0.4666666666666667,1
1,0.0,0.45,1
1,0.0,0.4166666666666667,1
1,0.0,0.4,1
1,0.016666666666666666,0.36666666666666664,1
1,0.0,0.35,1
1,0.0,0.3333333333333333,1
1,0.0,0.3,1
1,0.0,0.2833333333333333,1
1,0.016666666666666666,0.26666666666666666,1
1,0.03333333333333333,0.25,1
1,0.0,0.21666666666666667,1
1,0.0,0.2,1
1,0.0,0.16666666666666666,1
1,0.0,0.15,1
1,0.0,0.13333333333333333,1
1,0.0,0.1,1
1,0.0,0.08333333333333333,1
1,0.016666666666666666,0.05,1
1,0.0,0.03333333333333333,1
1,0.03333333333333333,0.016666666666666666,1
1,0.016666666666666666,0.0,1
1,0.0,0.9666666666666667,1
1,0.0,0.95,1
1,0.0,0.9333333333333333,1
1,0.0,0.9,1
1,0.0,0.8833333333333333,1
1,0.016666666666666666,0.85,1
1,0.016666666666666666,0.8333333333333334,1
1,0.0,0.8166666666666667,1
1,0.0,0.8,1
1,0.0,0.7833333333333333,1
1,0.0,0.75,1
1,0.0,0.7333333333333333,1
1,0.0,0.7,1
1,0.0,0.6833333333333333,1
1,0.03333333333333333,0.6666666666666666,1
1,0.0,0.6333333333333333,1
1,0.0,0.6166666666666667,1
1,0.0,0.6,1
1,0.0,0.5833333333333334,1
1,0.0,0.5333333333333333,1
1,0.0,0.5,1
1,0.016666666666666666,0.4666666666666667,1
1,0.0,0.43333333333333335,1
1,0.0,0.4166666666666667,1
1,0.0,0.4,1
