gpu_group,baseline_avg,rl_avg,count
1,383.1483280639922,52.90257117929581,115764
2,276.9149055597654,217.95993095899638,11877
4,336.3705406254911,146.74938446225576,6363
8,582.3887286324787,735.0615562678063,2808
16,544.9131436314364,4607.310772357723,246
32,600.7268229166666,3774.6872395833334,64
64,698.0469696969697,5855.040151515152,22
64+,0.021794871794871794,1194.5442307692308,26
